User_ID,Blink_ID,Duration_ms,EAR
5cb2ebcd,1764226993,37.85,0.281
5cb2ebcd,1764226993,265.57,0.286
5cb2ebcd,1764226998,173.62,0.315
5cb2ebcd,1764227001,278.2,0.294
5cb2ebcd,1764227001,49.52,0.282
5cb2ebcd,1764227001,46.23,0.276
5cb2ebcd,1764227001,78.99,0.285
5cb2ebcd,1764227003,46.95,0.298
5cb2ebcd,1764227003,222.87,0.278
5cb2ebcd,1764227003,36.87,0.288
5cb2ebcd,1764227004,63.05,0.278
5cb2ebcd,1764227004,230.21,0.386
5cb2ebcd,1764227006,95.53,0.306
5cb2ebcd,1764227008,358.66,0.326
5cb2ebcd,1764227010,530.91,0.288
5cb2ebcd,1764227015,2463.42,0.288
5cb2ebcd,1764227015,38.42,0.285
5cb2ebcd,1764227015,83.13,0.3
5cb2ebcd,1764227016,44.7,0.29
5cb2ebcd,1764227016,166.56,0.358
5cb2ebcd,1764227017,300.11,0.338
5cb2ebcd,1764227018,293.72,0.274
5cb2ebcd,1764227018,302.57,0.284
5cb2ebcd,1764227018,51.51,0.286
5cb2ebcd,1764227018,29.57,0.28
5cb2ebcd,1764227018,66.4,0.275
5cb2ebcd,1764227018,27.03,0.275
5cb2ebcd,1764227019,33.46,0.277
5cb2ebcd,1764227030,492.98,0.278
5cb2ebcd,1764227030,68.84,0.286
5cb2ebcd,1764227030,184.09,0.335
5cb2ebcd,1764227033,376.35,0.283
5cb2ebcd,1764227034,36.94,0.28
5cb2ebcd,1764227035,542.49,0.279
5cb2ebcd,1764227037,45.05,0.29
a9fbcb72,1764305471,37.61,0.288
a9fbcb72,1764305472,955.71,0.297
a9fbcb72,1764305475,43.74,0.302
a9fbcb72,1764305475,43.46,0.282
a9fbcb72,1764305476,392.51,0.282
a9fbcb72,1764305477,89.95,0.285
a9fbcb72,1764305479,2208.8,0.282
a9fbcb72,1764305480,957.57,0.292
a9fbcb72,1764305481,424.38,0.282
a9fbcb72,1764305481,38.09,0.296
a9fbcb72,1764305481,43.49,0.289
a9fbcb72,1764305481,98.56,0.297
a9fbcb72,1764305482,74.95,0.295
a9fbcb72,1764305482,43.54,0.302
a9fbcb72,1764305482,172.21,0.284
a9fbcb72,1764305483,72.83,0.283
a9fbcb72,1764305483,33.63,0.282
a9fbcb72,1764305483,44.9,0.302
a9fbcb72,1764305486,256.52,0.292
7f7dc11d,1764306503,176.92,0.286
7f7dc11d,1764306504,194.68,0.271
7f7dc11d,1764306504,184.78,0.276
7f7dc11d,1764306505,144.71,0.298
95d79038,1764307367,90.16,0.25
95d79038,1764307367,38.6,0.252
95d79038,1764307368,40.45,0.252
95d79038,1764307368,33.55,0.254
95d79038,1764307369,316.34,0.246
95d79038,1764307370,128.89,0.249
95d79038,1764307371,57.8,0.272
95d79038,1764307372,49.52,0.264
95d79038,1764307374,934.0,0.252
95d79038,1764307374,41.31,0.31
95d79038,1764307376,1927.29,0.325
95d79038,1764307378,1180.34,0.257
95d79038,1764307378,45.06,0.246
95d79038,1764307378,152.91,0.25
95d79038,1764307378,79.68,0.26
95d79038,1764307378,50.61,0.247
95d79038,1764307379,653.97,0.25
95d79038,1764307380,602.15,0.256
95d79038,1764307380,37.51,0.252
95d79038,1764307380,263.16,0.284
95d79038,1764307381,205.54,0.253
95d79038,1764307383,357.1,0.251
95d79038,1764307383,118.36,0.25
95d79038,1764307387,343.87,0.258
95d79038,1764307388,46.34,0.251
95d79038,1764307388,48.5,0.252
95d79038,1764307388,146.28,0.252
95d79038,1764307388,37.34,0.252
95d79038,1764307389,391.52,0.256
95d79038,1764307389,142.26,0.249
95d79038,1764307389,77.64,0.248
95d79038,1764307390,84.46,0.26
95d79038,1764307390,346.42,0.255
95d79038,1764307390,230.26,0.252
95d79038,1764307391,45.93,0.256
24ae910c,1764307812,421469.71,0.321
24ae910c,1764307813,151.73,0.222
24ae910c,1764307814,220.82,0.217
24ae910c,1764307815,164.51,0.236
24ae910c,1764307820,54.31,0.208
24ae910c,1764307821,48.81,0.234
24ae910c,1764307824,96.59,0.238
24ae910c,1764307832,208.47,0.254
24ae910c,1764307834,134.83,0.222
24ae910c,1764307835,33.18,0.364
24ae910c,1764307845,10334.61,0.286
24ae910c,1764307845,42.46,0.213
24ae910c,1764307846,169.91,0.214
24ae910c,1764307846,29.13,0.218
24ae910c,1764307846,46.08,0.227
24ae910c,1764307846,87.9,0.211
24ae910c,1764307846,45.21,0.235
24ae910c,1764307846,87.77,0.21
24ae910c,1764307846,39.06,0.223
24ae910c,1764307847,129.75,0.215
24ae910c,1764307847,235.36,0.214
24ae910c,1764307848,38.95,0.235
24ae910c,1764307848,86.89,0.252
24ae910c,1764307849,219.96,0.223
24ae910c,1764307849,84.24,0.215
24ae910c,1764307849,70.79,0.242
24ae910c,1764307850,58.28,0.23
24ae910c,1764307850,56.83,0.216
24ae910c,1764307851,33.49,0.23
24ae910c,1764307851,37.97,0.234
24ae910c,1764307851,34.99,0.255
24ae910c,1764307852,29.11,0.238
24ae910c,1764307853,185.37,0.221
24ae910c,1764307854,186.69,0.238
24ae910c,1764307855,33.92,0.236
24ae910c,1764307855,26.78,0.252
24ae910c,1764307856,124.73,0.212
24ae910c,1764307856,76.0,0.22
24ae910c,1764307856,25.41,0.211
24ae910c,1764307856,24.75,0.246
24ae910c,1764307857,35.99,0.242
24ae910c,1764307857,32.26,0.236
24ae910c,1764307857,32.32,0.228
24ae910c,1764307858,300.74,0.215
24ae910c,1764307858,43.81,0.259
24ae910c,1764307860,32.42,0.236
24ae910c,1764307861,31.65,0.25
24ae910c,1764307861,31.67,0.226
24ae910c,1764307861,36.66,0.232
24ae910c,1764307861,37.51,0.229
24ae910c,1764307861,27.65,0.234
24ae910c,1764307862,869.17,0.227
24ae910c,1764307864,126.58,0.26
24ae910c,1764307866,1859.7,0.21
24ae910c,1764307866,94.74,0.228
24ae910c,1764307873,6280.24,0.318
24ae910c,1764307875,113.88,0.212
24ae910c,1764307881,39.03,0.22
24ae910c,1764307883,170.89,0.215
24ae910c,1764307883,30.16,0.211
24ae910c,1764307883,375.93,0.217
24ae910c,1764307884,46.05,0.221
24ae910c,1764307884,52.7,0.358
24ae910c,1764307888,142.25,0.218
24ae910c,1764307892,32.67,0.242
24ae910c,1764307898,96.84,0.228
24ae910c,1764307907,51.01,0.225
24ae910c,1764307910,35.76,0.216
24ae910c,1764307917,33.22,0.219
24ae910c,1764307933,61.09,0.218
24ae910c,1764307934,437.41,0.215
24ae910c,1764307935,24.45,0.224
